Country/Region,累計感染者数,累計死者数,新規感染者数,新規死者数,致死率
アフガニスタン,203942,7829,113,1,3.8388365319551636
アルバニア,333071,3593,13,0,1.078748975443674
アルジェリア,270891,6881,10,0,2.540136069489204
アンドラ,46588,155,0,0,0.33270370052374
アンゴラ,103131,1917,0,0,1.8588009424906187
,11,0,0,0,0.0
アンティグア・バーブーダ,9106,146,0,0,1.6033384581594552
アルゼンチン,9720232,130003,0,0,1.3374475012530564
アルメニア,445397,8709,0,0,1.9553342299117416
オーストラリア,10426939,15808,3373,16,0.15160729337727977
オーストリア,5472671,21049,3704,9,0.3846202338857936
アゼルバイジャン,823577,9957,38,0,1.208994423107979
バハマ,37416,833,30,0,2.2263202907846913
バーレーン,692378,1529,249,0,0.22083312872448285
バングラデシュ,2035930,29426,48,0,1.445334564547897
バルバドス,103424,560,0,0,0.5414603960396039
ベラルーシ,994037,7118,0,0,0.7160699249625517
ベルギー,4619721,32959,0,0,0.7134413528436025
ベリーズ,68972,687,0,0,0.9960563707011542
ベナン,27912,163,0,0,0.5839782172542276
ブータン,62430,21,0,0,0.03363767419509851
ボリビア,1109652,22240,0,0,2.0042319574064664
ボスニア・ヘルツェゴビナ,400119,16182,29,0,4.0442968216955455
ボツワナ,326344,2790,0,0,0.8549260902605839
ブラジル,34855492,688395,0,0,1.974997225688279
ブルネイ・ダルサラーム,241044,225,0,0,0.0933439538009658
ブルガリア,1281924,37931,0,0,2.9589117607596083
ブルキナファソ,21631,387,0,0,1.7890989783181543
ミャンマー,632391,19486,73,1,3.0813215241836143
ブルンジ,50574,38,57,0,0.07513742239095188
カーボベルデ,62566,410,5,0,0.655307994757536
カンボジア,137996,3056,0,0,2.214556943679527
カメルーン,123993,1965,0,0,1.5847668820014034
カナダ,4391389,47030,2883,58,1.070959552888619
中央アフリカ,15289,113,0,0,0.7390934658905095
チャド,7631,194,0,0,2.542261826759271
チリ,4803251,61868,4030,15,1.2880442850061342
