国・地域,累計感染者数,累計感染者数（人口1000人あたり）
アフガニスタン,178905,4.5957519741208595
アルバニア,275266,95.65153937035235
アルジェリア,265786,6.061110108601065
アンドラ,41717,539.9210509286223
アンゴラ,99287,3.020939280358817
,11,0.19111489479993746
アンティグア・バーブーダ,7663,78.25136835225881
アルゼンチン,9083673,200.9849946821359
アルメニア,422877,142.7079332918021
オーストラリア,6171633,242.025952983859
オーストリア,4166759,462.6442307692308
アゼルバイジャン,792599,78.17194199725323
バハマ,33655,85.58212629180568
バーレーン,570761,335.42942072176317
バングラデシュ,1952747,11.857151714509733
バルバドス,72282,251.52851192361092
ベラルーシ,981259,103.84439262884602
ベルギー,4088336,352.7585383329353
ベリーズ,57578,144.80623508315708
ベナン,26952,2.2231757659983775
ブータン,59422,77.01020720258369
ボリビア,905212,77.54731012833086
ボスニア・ヘルツェゴビナ,377229,114.98027167030143
ボツワナ,306200,130.20783500770744
ブラジル,30524183,143.60306675485722
ブルネイ・ダルサラーム,142312,325.2972115487916
ブルガリア,1158793,166.77011906980627
ブルキナファソ,20865,0.9981688039550543
ミャンマー,612965,11.265710728476567
ブルンジ,40736,3.4258473013673365
カーボベルデ,56046,100.80433390648719
カンボジア,136259,8.14996329618611
カメルーン,119780,4.512190674976712
カナダ,3794488,100.53712616372192
中央アフリカ,14649,3.033067454227577
チャド,7412,0.4512397190308282
チリ,3569492,186.72593504287383
中国,1067042,0.7413495276567286
コロンビア,6093645,119.75824719369288
コモロ,8107,9.322730696473645
コンゴ共和国,24079,4.36364598488028
コンゴ民主共和国,87023,0.9716573893817029
コスタリカ,857290,168.29030524248182
コートジボワール,81968,3.1074056207238723
クロアチア,1125723,274.21425349088054
キューバ,1103606,97.43475014955922
キプロス,480220,397.7435083624533
チェコ,3911324,365.2377042000818
デンマーク,3167562,546.8665376541534
ダイヤモンド・プリンセス（クルーズ船）,712,
ジブチ,15631,15.820818176481424
ドミニカ,12161,168.92389326443583
ドミニカ共和国,579572,53.427095225031486
エクアドル,870526,49.34098733439664
エジプト,515645,5.038823551841114
エルサルバドル,162089,24.989820697816796
赤道ギニア,15910,11.340106986175904
エリトリア,9735,2.745016322061613
エストニア,572434,431.52444066853667
エスワティニ,70964,61.16721429039343
エチオピア,470686,4.094218253444658
フィジー,64699,72.17294108722909
フィンランド,1052767,190.00551914029916
フランス,29040934,444.91146730391955
ガボン,47602,21.387159616988242
ガンビア,11995,4.963453752776555
ジョージア,1655221,414.9281493040541
ドイツ,25215210,300.9551531621005
ガーナ,161222,5.188500800294276
ギリシャ,3348756,321.2835084067475
グレナダ,15138,134.53727814857936
グアテマラ,848098,47.338607815203396
ギニア,36549,2.783033493563288
ギニアビサウ,8213,4.173276598858332
ガイアナ,63533,80.77334313128449
ハイチ,30703,2.6926473266948667
バチカン,29,35.846724351050675
ホンジュラス,423775,42.785640784572195
香港,1205717,160.82685473152685
ハンガリー,1903200,197.01149544271172
アイスランド,185795,544.4542124542124
インド,43094938,31.228116713556677
インドネシア,6047741,22.110488951153506
イラン,7224056,86.00788211363398
イラク,2325397,57.813333993660216
アイルランド,1521474,308.1281608231689
イスラエル,4086659,472.1436822955376
イタリア,16682626,275.91997383870034
ジャマイカ,130596,44.10297177357125
日本,7994944,63.212902435961645
ヨルダン,1695970,166.22039881840297
カザフスタン,1394591,74.27239504775784
ケニア,323818,6.0221344843810725
キリバス,3089,25.861058553656044
韓国,17464782,340.6487284964147
コソボ,228117,
クウェート,631409,147.85146595425473
キルギス,200993,30.807344542794652
ラオス,208368,28.639460681767826
ラトビア,823732,436.7146254748961
レバノン,1097268,160.7614569137061
レソト,33151,15.47483676056785
リベリア,7434,1.4698447528381111
リビア,501916,73.04541347203224
リヒテンシュタイン,17230,451.7922227757821
リトアニア,1059185,389.0785371585918
ルクセンブルク,240675,384.47959666185284
MSザーンダム（クルーズ船）,9,
マカオ,82,0.12628168207200519
マダガスカル,64181,2.317755081530225
マラウイ,85797,4.484955662467581
マレーシア,4454113,137.6170449000213
モルディブ,179414,331.9150038294897
マリ,30888,1.5252705147847243
マルタ,92475,209.4378978980339
マーシャル諸島,17,0.2871912693854107
モーリタニア,58707,12.62608448789804
モーリシャス,222848,175.22706596412706
メキシコ,5739680,44.516849803090764
ミクロネシア連邦,7,0.06085845193486407
モルドバ,517753,128.34847518432866
モナコ,11869,302.44113749872594
モンゴル,920781,280.87217368068497
モンテネグロ,235549,375.0409991370279
モロッコ,1165084,31.56506059865039
モザンビーク,225407,7.211769729008731
ナミビア,158989,62.571529322496296
ネパール,978899,33.596645178154034
オランダ,8235998,480.6570786955935
ニュージーランド,982626,203.76991323314323
ニカラグア,18491,2.7912822508503967
ニジェール,8957,0.37002250126783415
ナイジェリア,255766,1.2407417892032546
北マケドニア,310063,148.8269062772994
ノルウェー,1427485,263.31327765851444
オマーン,389126,76.20027485880098
パキスタン,1527956,6.917198044326853
パラオ,4690,259.23059915984965
パナマ,782265,181.2994348711217
パプアニューギニア,43826,4.8983869166819325
パラグアイ,649455,91.05534782188087
ペルー,3568692,108.23452226484379
フィリピン,3686543,33.64214727386574
ポーランド,5998909,158.50586862414738
ポルトガル,3906155,383.080047313314
カタール,364895,126.65303742372599
ルーマニア,2897528,150.61731449766143
ロシア,17945617,122.97038684351865
ルワンダ,129843,10.024776468631721
セントクリストファー・ネービス,5570,104.71499473605053
セントルシア,23612,128.58535416519177
セントビンセント・グレナディーン,8428,75.96419912210335
サモア,10210,51.459099843757876
サンマリノ,16561,487.97807767104723
サントメ・プリンシペ,5964,27.21287090312601
サウジアラビア,754623,21.6759316050699
セネガル,86012,5.1369063296370685
セルビア,2008740,229.90213302172162
セーシェル,42841,435.6416514134635
シエラレオネ,7681,0.9628951289240233
シンガポール,1208917,206.6403627958224
スロバキア,2534433,464.2122204693603
スロベニア,1013935,487.71917503795225
ソロモン諸島,16441,23.935837222912948
ソマリア,26485,1.6664339678450286
南アフリカ,3818125,64.37715956970217
南スーダン,17491,1.5625713290003715
スペイン,11953481,255.66327620427626
スリランカ,663503,30.985628057394372
スーダン,62135,1.4170133600174726
東京五輪,865,
スリナム,79393,135.3365130558406
スウェーデン,2503090,247.84860687950714
スイス,3636226,420.14864203134096
シリア,55837,3.1905659313247496
台湾,232402,9.757912227831014
タジキスタン,17786,1.864821514584003
タンザニア,33872,0.567045220801687
タイ,4300614,61.61340050852165
東ティモール,22883,17.35609150800718
トーゴ,36996,4.468797595575268
,10494,182.32360963914033
トリニダード・トバゴ,149950,107.14609811710115
チュニジア,1040712,88.05699617332586
トルコ,15038495,178.3099521364162
米国,81692541,246.8032861380713
ウガンダ,164104,3.5876784504055443
ウクライナ,5040518,115.25462515124757
アラブ首長国連邦,899637,90.96062848823101
英国,22280496,328.2045589249884
ウルグアイ,899723,259.00797615932396
ウズベキスタン,238651,7.130466432734168
バヌアツ,7699,25.065928699332574
ベネズエラ,522587,18.377691923211408
ベトナム,10666751,109.58399712886718
パレスチナ,657060,128.79953330604678
,535,9.29513351981514
イエメン,11819,0.3962654288370456
ザンビア,319755,17.393155205549885
ジンバブエ,248050,16.689175691975073
